Date,Open,High,Low,Close,Volume
2014-07-01,63.406,63.486,62.618,63.077,3626031
2014-07-02,62.929,62.935,61.403,61.73,4079097
2014-07-03,61.394,61.394,60.303,60.863,2937489
2014-07-07,60.718,61.43,60.611,61.038,3122145
2014-07-08,60.931,61.348,60.88,61.296,3048285
2014-07-09,61.385,61.501,60.897,61.34,1948182
2014-07-10,61.26,62.049,61.163,62.031,2471888
2014-07-11,61.871,62.031,61.535,61.607,1418862
2014-07-14,61.802,61.827,61.057,61.075,1810671
2014-07-15,61.028,61.696,60.994,61.625,2714819
2014-07-16,61.827,61.9,61.208,61.846,1470148
2014-07-17,61.765,61.943,61.278,61.288,2270828
2014-07-18,61.552,62.316,61.135,62.191,2089259
2014-07-21,61.837,62.341,61.811,62.068,1765063
2014-07-22,62.349,62.359,61.908,61.998,1907278
2014-07-23,61.917,62.307,61.765,62.236,1482392
2014-07-24,61.855,62.581,61.855,62.349,1357414
2014-07-25,62.652,62.652,61.837,61.925,1243035
2014-07-28,61.827,62.989,61.827,62.83,2037870
2014-07-29,62.644,62.919,61.988,61.988,2517020
2014-07-30,62.049,62.636,60.63,61.135,2920599
2014-07-31,60.834,61.028,59.905,59.958,3685523
2014-08-01,59.682,60.64,59.585,59.913,2935202
2014-08-04,59.815,59.913,58.371,59.416,4412369
2014-08-05,59.354,59.471,58.274,58.512,3425130
2014-08-06,58.168,58.238,57.361,57.537,5853390
2014-08-07,57.768,58.451,57.768,58.291,3230577
2014-08-08,58.69,60.187,58.69,60.144,4369050
2014-08-11,60.116,60.358,59.656,59.877,2373100
2014-08-12,59.726,60.116,59.639,59.824,1548663
2014-08-13,59.905,60.319,59.71,60.073,1490848
2014-08-14,60.126,60.587,60.046,60.533,1347881
2014-08-15,60.783,61.472,60.702,61.075,2471586
2014-08-18,61.135,61.385,60.775,60.88,1551911
2014-08-19,60.88,61.705,60.8,61.686,2008937
2014-08-20,61.65,61.793,61.305,61.739,1378349
2014-08-21,61.73,62.182,61.659,61.774,1812962
2014-08-22,61.881,61.998,61.155,61.615,1824473
2014-08-25,61.855,62.271,61.686,62.129,1775954
2014-08-26,62.182,62.386,61.527,61.545,1673326
2014-08-27,61.697,62.17,61.634,62.127,2069623
2014-08-28,61.903,62.465,61.75,62.455,1896752
2014-08-29,62.348,62.824,62.216,62.787,1796620
2014-09-02,62.885,63.439,61.767,62.117,2930193
2014-09-03,62.161,62.591,62.09,62.286,1873608
2014-09-04,62.324,62.993,62.143,62.833,2900435
2014-09-05,62.938,63.753,62.885,63.743,2256110
2014-09-08,63.663,63.779,63.021,63.35,3014790
2014-09-09,63.154,63.288,62.446,62.473,2793488
2014-09-10,62.384,62.553,61.992,62.17,1675123
2014-09-11,62.17,62.636,61.884,62.52,1795859
2014-09-12,62.206,62.206,61.053,61.322,2172162
2014-09-15,61.463,61.732,61.107,61.393,1423162
2014-09-16,61.294,62.268,61.257,62.001,1922695
2014-09-17,62.143,62.393,61.402,61.741,2580272
2014-09-18,61.776,61.972,60.974,61.267,1963922
2014-09-19,61.141,61.759,61.141,61.625,3389166
2014-09-22,61.625,61.687,60.875,61.071,1912126
2014-09-23,61.071,61.205,60.729,61.071,4075916
2014-09-24,61.16,61.187,60.768,60.901,1890325
2014-09-25,60.802,61.249,60.455,60.473,1950270
2014-09-26,60.793,61.098,60.168,60.827,1857698
2014-09-29,60.621,61.322,60.435,61.231,1856982
2014-09-30,61.561,62.735,61.552,61.776,3168011
2014-10-01,62.071,62.529,61.75,61.928,2451852
2014-10-02,61.921,62.367,61.715,61.982,1877937
2014-10-03,62.134,62.726,61.715,62.628,2377229
2014-10-06,62.618,62.983,62.367,62.653,2065463
2014-10-07,62.34,63.19,62.324,62.759,3129204
2014-10-08,62.767,64.558,62.628,64.488,5125359
2014-10-09,64.488,64.595,62.938,62.974,3052161
2014-10-10,63.288,64.049,63.119,63.144,3317468
2014-10-13,63.298,63.806,62.562,62.581,4274664
2014-10-14,62.833,62.904,60.768,60.964,9520373
2014-10-15,60.562,60.818,58.594,59.309,9474732
2014-10-16,58.611,61.151,58.611,60.786,5510544
2014-10-17,61.018,61.616,60.365,61.453,3475942
2014-10-20,61.535,62.206,61.365,62.117,2273652
2014-10-21,62.206,62.707,61.83,62.6,2024629
2014-10-22,62.455,63.279,62.439,62.618,2961077
2014-10-23,63.091,63.262,62.492,62.679,2034257
2014-10-24,62.787,63.475,62.608,63.233,1958424
2014-10-27,63.225,63.43,62.806,62.913,1879565
2014-10-28,63.056,63.225,62.34,63.225,2818983
2014-10-29,63.19,63.485,62.17,62.743,2625310
2014-10-30,62.993,64.084,62.305,64.004,4212857
2014-10-31,62.743,64.191,62.628,63.753,4801146
2014-11-03,63.959,65.219,63.905,64.881,3605879
2014-11-04,64.923,65.111,63.861,64.217,2197055
2014-11-05,64.469,66.694,64.297,66.329,5395902
2014-11-06,66.329,66.382,64.881,65.344,4344625
2014-11-07,65.648,66.096,65.434,66.068,2279826
