Date,Open,High,Low,Close,Volume
2014-07-01,64.627,64.663,64.027,64.132,2294684
2014-07-02,64.017,64.062,62.599,62.904,5184383
2014-07-03,62.669,62.669,61.676,62.18,4014347
2014-07-07,62.059,62.46,61.955,62.346,3605032
2014-07-08,62.469,63.339,62.398,62.993,3653951
2014-07-09,62.993,63.165,62.45,62.808,2288750
2014-07-10,62.739,63.357,62.739,63.052,2298148
2014-07-11,63.147,63.312,62.808,62.852,2138967
2014-07-14,62.896,62.993,62.295,62.312,2707530
2014-07-15,62.382,63.06,62.382,62.739,2587589
2014-07-16,62.8,63.14,62.45,63.078,2174626
2014-07-17,63.322,63.436,62.8,63.026,3453377
2014-07-18,63.235,63.74,62.79,63.678,2990590
2014-07-21,63.514,64.114,63.436,63.896,2345867
2014-07-22,63.958,64.053,63.715,63.835,2315334
2014-07-23,63.835,64.017,63.67,63.931,1925511
2014-07-24,64.017,64.722,63.976,64.48,2572722
2014-07-25,64.325,64.611,63.67,63.765,2460266
2014-07-28,63.853,64.873,63.784,64.794,3767083
2014-07-29,64.801,64.873,64.245,64.436,2567517
2014-07-30,64.48,64.627,63.218,63.627,3194249
2014-07-31,63.243,63.67,62.765,62.825,3730238
2014-08-01,62.919,63.904,62.843,63.532,4546781
2014-08-04,63.523,63.556,61.719,62.887,5179291
2014-08-05,62.572,62.887,61.554,61.823,3572449
2014-08-06,61.727,61.754,60.518,60.829,8113435
2014-08-07,61.215,62.337,61.014,61.493,4141635
2014-08-08,61.797,62.512,61.781,62.494,3165160
2014-08-11,62.712,62.929,62.277,62.346,2430345
2014-08-12,62.398,62.642,62.067,62.171,3269299
2014-08-13,62.361,62.643,62.027,62.476,2431765
2014-08-14,62.502,63.507,62.502,63.488,4072579
2014-08-15,63.295,64.036,63.287,63.498,3385249
2014-08-18,63.682,63.989,63.348,63.498,2073095
2014-08-19,63.567,64.23,63.453,64.193,2484099
2014-08-20,63.929,64.167,63.692,64.087,2353841
2014-08-21,64.132,64.642,63.981,64.334,2301068
2014-08-22,64.688,65.047,63.947,64.185,2858874
2014-08-25,64.457,64.758,64.23,64.28,2041865
2014-08-26,64.238,64.415,63.622,63.701,2406553
2014-08-27,63.814,64.264,63.717,64.238,2145745
2014-08-28,63.974,64.688,63.92,64.573,2126110
2014-08-29,64.66,65.18,64.608,65.171,3389025
2014-09-02,65.197,65.26,64.377,64.696,4631153
2014-09-03,64.837,65.26,64.739,65.057,2408446
2014-09-04,64.888,65.391,64.711,65.197,2552180
2014-09-05,65.223,65.98,65.18,65.972,3419935
2014-09-08,65.716,66.017,65.445,65.964,3863890
2014-09-09,65.708,65.841,64.953,64.994,4166701
2014-09-10,64.873,64.969,64.439,64.642,3379858
2014-09-11,64.969,65.613,64.739,65.585,3253144
2014-09-12,65.293,65.428,64.255,64.352,4344193
2014-09-15,64.608,64.915,64.439,64.688,2611552
2014-09-16,65.126,65.701,65.047,65.488,3955329
2014-09-17,65.744,65.901,65.145,65.445,3396750
2014-09-18,65.604,65.663,64.519,64.721,3947395
2014-09-19,65.003,65.594,64.873,65.516,4593007
2014-09-22,65.18,65.47,64.721,65.067,3476209
2014-09-23,65.047,65.391,64.837,64.888,3585185
2014-09-24,64.943,65.091,64.651,64.925,2452901
2014-09-25,64.888,65.34,64.873,65.145,4807755
2014-09-26,65.082,65.409,64.573,65.253,3392539
2014-09-29,64.905,65.347,64.679,65.347,2317791
2014-09-30,65.409,66.245,65.206,65.859,4756245
2014-10-01,66.105,66.704,65.939,66.325,6013497
2014-10-02,66.253,66.738,65.964,66.052,3992437
2014-10-03,66.077,66.309,65.47,66.211,3032112
2014-10-06,66.431,66.58,65.911,66.123,2059674
2014-10-07,66.123,66.907,65.948,66.245,3471322
2014-10-08,66.388,67.92,66.245,67.866,4499250
2014-10-09,67.823,68.404,67.206,67.285,3941909
2014-10-10,67.603,68.343,67.576,67.674,4525068
2014-10-13,67.559,69.065,67.506,68.184,5611736
2014-10-14,68.624,70.298,68.157,69.469,6606310
2014-10-15,69.091,70.147,68.21,69.496,7484098
2014-10-16,68.712,69.152,67.857,68.852,5933449
2014-10-17,68.924,69.223,67.866,69.082,3993484
2014-10-20,69.205,70.147,69.196,70.024,2841949
2014-10-21,70.156,70.235,69.557,69.654,4218787
2014-10-22,69.769,70.773,69.681,70.606,4241698
2014-10-23,70.781,70.905,70.166,70.526,3345711
2014-10-24,70.588,70.95,70.508,70.729,3231723
2014-10-27,70.799,71.47,70.729,71.001,2322345
2014-10-28,71.081,71.196,70.183,71.098,3640117
2014-10-29,71.029,71.559,70.078,70.703,3066783
2014-10-30,70.994,72.524,70.789,72.483,3739261
2014-10-31,72.588,72.824,71.648,72.359,3666636
2014-11-03,72.428,72.755,72.095,72.561,2664782
2014-11-04,72.614,72.932,72.086,72.428,2727127
2014-11-05,72.641,73.899,72.226,73.547,6097566
2014-11-06,72.869,73.064,71.407,71.495,7706732
2014-11-07,71.522,72.306,71.364,72.297,3716131
2014-11-10,72.314,73.142,72.289,72.941,2931959
2014-11-11,72.772,73.197,72.543,72.808,3111827
2014-11-12,72.075,72.438,70.838,71.015,6211533
2014-11-13,71.184,71.584,70.003,70.25,4631659
2014-11-14,69.86,70.712,69.86,70.357,3603242
2014-11-17,70.41,71.576,70.338,71.415,3354143
2014-11-18,71.719,71.932,71.043,71.424,4230544
2014-11-19,71.327,71.754,70.874,71.487,3099321
2014-11-20,71.487,71.878,71.221,71.301,2377145
2014-11-21,71.71,71.799,70.475,70.945,5900496
2014-11-24,71.203,71.344,70.268,70.287,5695243
2014-11-25,70.41,70.518,69.824,70.395,4709666
2014-11-26,70.534,71.086,70.534,70.874,2238173
2014-11-28,71.149,72.563,71.094,71.947,2690969
2014-12-01,71.496,73.585,71.292,72.928,5720017
2014-12-02,72.768,73.407,72.367,73.23,3569629
2014-12-03,72.918,73.338,72.501,72.901,2482677
2014-12-04,72.937,73.354,72.723,73.239,2849018
2014-12-05,72.474,72.653,71.354,71.799,4022202
2014-12-08,71.957,73.017,71.957,72.598,4205602
2014-12-09,72.395,73.212,72.199,73.089,4355214
2014-12-10,73.079,73.97,72.964,73.151,4433250
2014-12-11,73.443,74.27,73.426,73.719,3324369
2014-12-12,73.39,74.28,73.249,73.542,3754876
2014-12-15,73.542,73.736,72.11,72.163,4945475
2014-12-16,72.404,72.954,71.334,71.7,4055439
2014-12-17,72.136,72.608,71.47,72.367,3803329
2014-12-18,72.376,73.825,72.217,73.825,4887391
2014-12-19,73.934,74.35,73.524,73.684,5327512
2014-12-22,73.879,74.477,73.675,74.359,3030693
2014-12-23,74.501,74.894,74.253,74.421,2274055
2014-12-24,74.548,75.791,74.548,75.568,2706874
2014-12-26,75.711,76.869,75.702,76.316,3356185
2014-12-29,76.264,77.633,76.218,77.223,4578917
2014-12-30,77.223,77.223,75.187,75.328,3355136
2014-12-31,75.436,75.74,74.26,74.298,3158359
2015-01-02,74.298,74.912,73.896,74.751,2551383
2015-01-05,74.35,74.628,73.471,73.675,4250831
2015-01-06,73.746,75.409,73.746,74.885,5949614
2015-01-07,74.937,75.498,74.458,75.124,2904877
2015-01-08,75.357,75.844,75.213,75.426,2437579
2015-01-09,75.596,75.943,74.903,75.534,3012403
2015-01-12,75.773,76.032,75.286,75.605,2586382
2015-01-13,75.862,77.179,75.747,76.013,3968737
2015-01-14,75.667,76.289,75.286,76.21,3804129
2015-01-15,76.386,77.332,75.918,77.161,4374800
2015-01-16,77.134,77.722,77.01,77.686,4389474
2015-01-20,77.766,78.026,77.134,77.988,3576064
2015-01-21,77.82,78.967,77.285,78.869,3187280
2015-01-22,79.001,79.411,78.211,78.823,2858461
2015-01-23,79.108,79.36,78.805,78.903,2043380
2015-01-26,78.823,78.888,78.106,78.753,1967828
2015-01-27,78.842,79.383,78.575,78.903,2144174
2015-01-28,79.116,80.015,77.959,78.13,3521344
2015-01-29,78.137,79.669,77.704,79.472,3205109
2015-01-30,79.028,79.499,77.437,77.5,3965081
2015-02-02,77.374,77.633,76.583,77.374,4059765
2015-02-03,77.285,77.48,76.761,77.179,4475264
2015-02-04,77.072,77.536,76.272,76.467,4144007
2015-02-05,76.958,77.204,76.281,77.126,2865617
2015-02-06,76.547,77.028,73.399,73.914,4896198
2015-02-09,73.952,74.359,73.116,73.55,4427994
2015-02-10,73.461,74.964,73.275,74.865,4644765
2015-02-11,74.601,74.79,73.265,73.487,3751476
2015-02-12,73.346,73.667,72.626,72.779,5386165
2015-02-13,72.663,72.698,71.119,71.682,5209717
2015-02-17,71.324,72.654,70.751,71.28,7001876
2015-02-18,71.136,73.102,70.957,72.698,5392025
