Date,Open,High,Low,Close,Volume
2014-07-01,31.921,32.081,31.453,31.585,7947406
2014-07-02,31.453,31.488,30.372,30.606,12557024
2014-07-03,30.41,30.41,29.904,30.055,9060600
2014-07-07,30.136,30.533,30.107,30.402,11939160
2014-07-08,30.322,30.54,30.265,30.362,8170665
2014-07-09,30.41,30.499,30.214,30.312,8570182
2014-07-10,30.214,30.499,30.214,30.402,8450303
2014-07-11,30.257,30.41,29.834,29.886,10373878
2014-07-14,30.038,30.038,29.072,29.098,11574155
2014-07-15,29.107,29.251,28.942,29.063,10255081
2014-07-16,29.098,29.153,28.869,29.145,10008466
2014-07-17,29.048,29.284,28.268,28.268,11405817
2014-07-18,28.471,28.624,28.197,28.393,11460941
2014-07-21,28.49,28.596,28.18,28.516,9452346
2014-07-22,28.532,28.578,28.1,28.117,9923106
2014-07-23,28.171,28.285,28.027,28.1,5163886
2014-07-24,27.746,28.259,27.667,28.144,6968238
2014-07-25,28.073,28.304,27.764,27.825,4169574
2014-07-28,27.789,28.426,27.764,28.268,6423712
2014-07-29,28.259,28.356,27.808,27.843,7114177
2014-07-30,27.984,28.012,27.295,27.435,9015905
2014-07-31,27.366,27.862,27.25,27.498,10440041
2014-08-01,27.551,28.384,27.514,27.905,11002302
2014-08-04,27.886,27.886,27.127,27.746,11392638
2014-08-05,27.676,27.922,27.463,27.543,7554538
2014-08-06,27.463,27.649,27.188,27.587,12897540
2014-08-07,27.658,28.134,27.612,27.922,8185188
2014-08-08,27.959,28.443,27.922,28.417,6745379
2014-08-11,28.471,28.606,28.32,28.41,5601759
2014-08-12,28.366,28.452,28.134,28.197,5618220
2014-08-13,28.214,28.339,27.991,28.099,3886003
2014-08-14,28.189,28.518,28.143,28.438,3636457
2014-08-15,28.455,28.768,28.269,28.411,6280524
2014-08-18,28.527,28.689,28.348,28.428,4518932
2014-08-19,28.511,28.591,28.304,28.553,5505172
2014-08-20,28.572,28.609,28.455,28.582,2868250
2014-08-21,28.527,29.029,28.527,28.814,6618270
2014-08-22,28.814,29.145,28.75,28.94,6168481
2014-08-25,29,29.411,28.912,29.332,5072801
2014-08-26,29.351,29.519,28.84,28.866,4596155
2014-08-27,28.893,29.286,28.893,29.277,5086646
2014-08-28,29.145,29.637,29.039,29.483,4485021
2014-08-29,29.519,29.859,29.467,29.859,4054213
2014-09-02,29.867,29.895,29.127,29.332,7322050
2014-09-03,29.509,29.796,29.467,29.715,4972190
2014-09-04,29.598,29.975,29.529,29.975,9136798
2014-09-05,29.912,30.278,29.823,30.208,6819903
2014-09-08,30.208,30.333,29.769,29.876,3939682
2014-09-09,29.752,29.752,29.49,29.589,4941524
2014-09-10,29.607,29.617,29.117,29.519,6365178
2014-09-11,29.548,29.93,29.519,29.705,4778404
2014-09-12,29.566,29.627,29.107,29.36,5775627
2014-09-15,29.393,29.832,29.393,29.688,5162371
2014-09-16,29.671,30.278,29.566,30.216,5382614
2014-09-17,30.278,30.376,29.985,30.092,6629658
2014-09-18,30.047,30.366,30.029,30.18,6640595
2014-09-19,30.225,30.752,30.208,30.742,10135170
2014-09-22,30.592,31.191,30.446,30.634,9751278
2014-09-23,30.563,30.726,30.333,30.484,6916127
2014-09-24,30.512,30.53,30.235,30.298,8098031
2014-09-25,30.298,30.414,30.019,30.019,4547942
2014-09-26,30.1,30.18,29.823,30.108,3863747
2014-09-29,29.965,30.53,29.842,30.474,5895060
2014-09-30,30.627,30.896,30.386,30.456,7720449
2014-10-01,30.545,31.582,30.53,30.887,10513656
2014-10-02,30.797,31.243,30.732,31.029,7166012
2014-10-03,31.083,31.191,30.69,31.163,4118140
2014-10-06,31.251,31.307,30.922,31.083,3011297
2014-10-07,31.005,31.646,30.905,31.055,6714236
2014-10-08,31.163,32.038,31.102,32.012,8949749
2014-10-09,32.038,32.145,31.074,31.093,9993772
2014-10-10,31.233,31.61,31.074,31.118,11715013
2014-10-13,31.173,31.405,30.456,30.474,9506685
2014-10-14,30.61,31.173,30.433,30.948,10130273
2014-10-15,31.055,31.28,29.752,30.315,13603787
2014-10-16,29.876,30.778,29.548,30.456,9461929
2014-10-17,30.681,31.055,30.325,30.718,6891115
2014-10-20,30.69,31.28,30.671,31.261,4939369
2014-10-21,31.45,31.582,30.975,31.271,6305640
2014-10-22,31.118,31.627,31.093,31.163,6960832
2014-10-23,31.307,31.548,31.126,31.163,6330074
2014-10-24,31.261,32.145,31.2,31.922,7475325
2014-10-27,31.77,32.067,31.297,31.45,5951489
2014-10-28,31.565,31.93,31.379,31.93,6515942
2014-10-29,31.959,32.119,31.153,31.521,7159674
2014-10-30,31.717,32.869,31.682,32.79,8669183
2014-10-31,32.958,32.958,32.342,32.692,7536485
2014-11-03,32.656,32.914,32.325,32.52,6286929
2014-11-04,32.468,32.702,32.183,32.585,6224120
2014-11-05,32.851,33.683,32.646,33.523,10382452
2014-11-06,33.37,33.654,33.085,33.449,10536052
2014-11-07,33.487,33.859,33.397,33.744,8246581
2014-11-10,33.683,33.727,33.156,33.595,6820600
2014-11-11,33.62,33.851,33.442,33.547,4831360
2014-11-12,33.333,33.333,32.295,32.369,10980177
2014-11-13,32.539,32.774,31.72,31.856,8719274
2014-11-14,31.72,32.026,31.693,31.899,7260390
2014-11-17,31.8,32.314,31.757,32.171,6553055
2014-11-18,32.27,32.559,32.135,32.242,5283094
2014-11-19,32.143,32.496,31.899,32.478,6509127
2014-11-20,32.45,32.502,32.234,32.378,4954806
2014-11-21,32.694,32.774,32.288,32.658,7005317
2014-11-24,32.559,32.658,31.711,31.757,7007815
2014-11-25,31.8,31.846,31.25,31.693,8073212
2014-11-26,31.836,32.18,31.8,32.152,4022184
2014-11-28,32.116,32.61,31.974,32.585,2086467
2014-12-01,32.422,32.927,32.143,32.648,7257762
2014-12-02,32.648,33.18,32.496,33.062,8447143
2014-12-03,33.052,33.198,32.26,32.629,7599690
2014-12-04,32.684,32.953,32.035,32.152,8001145
2014-12-05,31.774,32.152,31.611,32.063,6582304
2014-12-08,32.18,32.378,31.926,32.279,6745112
2014-12-09,32.251,32.953,32.206,32.756,7865121
2014-12-10,32.803,33.142,32.369,32.378,7359810
2014-12-11,32.412,33.062,32.378,32.675,6777968
2014-12-12,32.478,32.845,32.251,32.36,5363663
2014-12-15,32.521,32.585,31.826,31.989,5577217
2014-12-16,31.964,32.638,31.737,31.964,5534495
2014-12-17,32.116,33.242,32.072,32.953,6674486
2014-12-18,33.062,33.811,32.873,33.811,7806594
2014-12-19,33.82,34.143,33.486,33.881,12735583
2014-12-22,33.531,33.739,32.935,33.341,8331204
2014-12-23,33.457,33.847,33.306,33.547,3760411
2014-12-24,33.556,34.459,33.556,34.098,5188915
2014-12-26,34.134,34.818,34.036,34.422,6545500
2014-12-29,34.404,35.072,34.386,34.802,7416718
2014-12-30,34.71,34.864,34.117,34.324,5767510
2014-12-31,34.351,34.459,33.341,33.405,6200155
2015-01-02,33.639,33.919,33.441,33.847,5523500
2015-01-05,33.604,33.839,32.619,32.883,9769818
2015-01-06,32.992,33.448,32.585,32.629,8440638
2015-01-07,32.793,32.927,32.502,32.675,8349743
2015-01-08,32.818,33.457,32.675,32.927,5960133
2015-01-09,33.26,33.333,32.675,32.873,4717865
2015-01-12,33.125,33.251,32.61,33,5641001
2015-01-13,33.242,33.539,32.728,32.892,6061935
2015-01-14,32.694,33.315,32.648,33.26,6579002
2015-01-15,33.504,33.684,33.224,33.575,8349221
2015-01-16,33.514,33.82,33.496,33.674,6929255
2015-01-20,33.783,33.853,33.142,33.556,7186127
2015-01-21,33.486,34.252,33.233,34.225,6831023
2015-01-22,34.43,34.459,33.333,33.556,7497161
2015-01-23,33.664,33.919,33.621,33.664,3562110
2015-01-26,33.566,33.712,33.287,33.639,4707960
2015-01-27,33.674,33.961,33.547,33.703,4207880
2015-01-28,33.646,34.027,33.306,33.333,4154342
2015-01-29,33.333,33.556,32.909,33.358,4813977
2015-01-30,33.081,33.333,32.44,32.468,7376236
2015-02-02,32.431,32.81,32.171,32.478,7939371
2015-02-03,32.521,33.324,32.387,33.27,9467876
2015-02-04,33.134,33.152,32.468,32.602,6811312
2015-02-05,32.728,33.26,32.478,32.972,6185532
2015-02-06,32.756,32.827,31.27,31.53,10265808
2015-02-09,31.512,31.594,30.927,31.062,8065568
2015-02-10,31.034,31.621,30.882,31.53,10630529
2015-02-11,31.357,31.395,31.005,31.138,7764275
2015-02-12,31.196,31.466,30.814,31.304,11412173
2015-02-13,29.732,30.914,29.642,30.456,16598469
2015-02-17,30.386,30.522,29.912,30.077,11928661
2015-02-18,30.087,30.922,30.003,30.814,8014869
2015-02-19,30.895,30.914,30.205,30.376,5767964
2015-02-20,30.396,30.496,30.087,30.346,7323592
2015-02-23,30.414,30.705,30.296,30.705,8124693
2015-02-24,30.705,31.776,30.606,31.621,9403077
2015-02-25,31.567,31.739,31.304,31.348,9251518
2015-02-26,31.466,31.466,30.438,30.866,8805319
2015-02-27,30.858,30.948,30.623,30.83,5786142
2015-03-02,30.777,30.83,29.794,29.841,7655628
2015-03-03,29.967,30.121,29.632,30.011,9922698
2015-03-04,29.986,30.131,29.584,29.65,7434047
2015-03-05,30.257,30.266,29.812,29.967,8378568
2015-03-06,29.541,29.65,29.193,29.331,10132946
2015-03-09,29.385,29.493,28.877,29.177,6419003
2015-03-10,29.202,29.642,29.022,29.202,8109349
2015-03-11,29.331,29.441,28.822,28.932,8258866
2015-03-12,29.122,29.986,29.122,29.712,7764327
2015-03-13,29.632,29.632,28.95,29.441,7107728
2015-03-16,29.65,30.067,29.593,29.712,4800061
2015-03-17,29.668,30.247,29.469,29.931,6495798
2015-03-18,29.876,30.905,29.759,30.648,8766719
2015-03-19,30.522,30.922,30.057,30.222,6938407
2015-03-20,30.386,30.738,30.149,30.176,14311173
2015-03-23,30.222,30.606,30.186,30.323,6632441
2015-03-24,30.257,30.466,29.903,30.186,6385887
2015-03-25,30.205,30.366,29.767,29.85,6925755
2015-03-26,29.767,29.958,29.451,29.56,7289371
2015-03-27,29.685,29.885,29.412,29.477,6508449
2015-03-30,29.541,30.657,29.484,30.514,11023228
2015-03-31,30.286,30.648,30.077,30.547,17112802
2015-04-01,29.576,30.041,29.36,29.859,17343655
2015-04-02,29.885,30.522,29.885,30.34,8047518
2015-04-06,30.423,30.976,30.331,30.748,4642621
2015-04-07,30.73,30.905,30.657,30.722,5306966
2015-04-08,30.705,30.705,30.305,30.356,6724309
2015-04-09,30.305,30.496,30.087,30.406,5001362
2015-04-10,30.456,30.623,30.247,30.34,5744802
2015-04-13,30.366,30.376,30.057,30.112,5885626
2015-04-14,30.212,30.456,30.077,30.414,4850010
2015-04-15,30.496,30.922,30.466,30.606,6851662
2015-04-16,30.456,30.466,30.041,30.346,6255777
2015-04-17,30.186,30.446,29.822,29.986,6948309
2015-04-20,30.121,30.929,30.067,30.596,6046358
2015-04-21,30.596,30.848,29.986,30.095,5952056
2015-04-22,30.266,30.366,29.995,30.095,5127433
2015-04-23,30.104,30.296,29.95,30.077,7274080
2015-04-24,30.087,31.221,30.05,30.957,9787917
2015-04-27,30.996,31.057,30.131,30.331,8255126
2015-04-28,30.196,30.686,30.104,30.648,6568461
2015-04-29,30.438,30.876,30.141,30.738,6908261
2015-04-30,30.73,30.938,30.346,30.922,9860648
2015-05-01,30.957,31.105,30.631,31.014,5118569
2015-05-04,31.005,31.795,30.83,31.639,9376449
2015-05-05,31.495,31.685,30.748,30.922,6398319
2015-05-06,30.986,31.047,30.131,30.396,7800586
2015-05-07,30.438,30.922,30.396,30.748,6699856
2015-05-08,31.115,31.386,30.676,30.838,6269486
2015-05-11,30.767,31.047,30.222,30.34,7103438
2015-05-12,30.257,30.695,29.95,30.586,6422879
2015-05-13,30.631,30.841,30.227,30.354,4918634
2015-05-14,30.445,30.797,30.438,30.769,5586796
2015-05-15,30.908,31.852,30.715,31.65,11653637
2015-05-18,31.521,31.723,31.375,31.64,4942837
2015-05-19,31.449,31.879,31.375,31.761,5335907
2015-05-20,31.741,31.824,31.429,31.494,7186381
2015-05-21,31.511,31.761,31.411,31.612,4253974
2015-05-22,31.511,31.695,31.328,31.558,3831572
2015-05-26,31.521,31.54,30.825,31.091,5843042
2015-05-27,31.101,31.284,31.042,31.143,4777422
2015-05-28,31.143,31.274,30.916,31.143,5304739
2015-05-29,31.183,31.21,30.807,31.034,6356164
2015-06-01,31.201,31.393,30.971,31.183,5617099
2015-06-02,30.98,31.101,30.566,30.942,5839120
2015-06-03,30.99,31.042,30.566,30.658,8265517
2015-06-04,30.556,31.218,30.521,30.816,6690486
2015-06-05,30.596,30.759,30.344,30.667,7026658
2015-06-08,30.75,30.759,30.311,30.374,6015844
2015-06-09,30.354,30.538,30.209,30.374,6796818
2015-06-10,31.236,31.457,31.052,31.355,11553538
