Date,Open,High,Low,Close,Volume
2014-07-01,93.107,93.126,92.071,92.2,2755760
2014-07-02,91.915,92.19,90.368,90.612,3158624
2014-07-03,90.476,90.476,88.375,89.266,1601735
2014-07-07,89.13,89.967,89.13,89.504,2047271
2014-07-08,89.302,90.33,89.166,89.885,2477537
2014-07-09,89.766,90.222,89.35,89.821,1887920
2014-07-10,89.623,90.64,89.594,90.33,1683845
2014-07-11,90.3,90.539,89.703,89.949,1340583
2014-07-14,89.648,89.994,88.512,88.541,2012254
2014-07-15,88.677,89.467,88.449,89.359,1937131
2014-07-16,89.521,89.91,88.958,89.721,1549834
2014-07-17,90.448,90.448,88.668,88.687,1768038
2014-07-18,89.003,89.849,88.395,89.775,2100178
2014-07-21,89.877,89.939,89.185,89.684,987782
2014-07-22,89.84,90.066,89.35,89.384,1521217
2014-07-23,89.486,89.868,89.223,89.512,1614355
2014-07-24,89.666,90.066,89.43,89.721,1164222
2014-07-25,89.575,90.02,89.34,89.477,1413842
2014-07-28,89.496,90.666,89.156,90.504,1807753
2014-07-29,90.004,90.33,88.433,89.43,2137360
2014-07-30,89.213,89.521,87.031,87.558,3129327
2014-07-31,86.922,87.23,85.251,85.331,2998497
2014-08-01,84.978,86.266,84.777,85.267,2766558
2014-08-04,85.377,85.558,83.422,85.477,4107167
2014-08-05,85.123,85.413,83.922,84.151,2680808
2014-08-06,84.132,84.541,83.431,83.931,4973657
2014-08-07,84.376,85.695,84.159,85.404,3127649
2014-08-08,85.54,86.794,85.487,86.75,1922614
2014-08-11,86.767,87.04,86.131,86.239,1566361
2014-08-12,86.324,86.695,85.977,86.248,1437192
2014-08-13,86.423,87.522,86.385,87.023,1176325
2014-08-14,86.895,87.522,86.895,87.422,1061183
2014-08-15,87.62,88.541,87.285,87.595,1395486
2014-08-18,87.786,88.321,87.15,87.376,1208389
2014-08-19,87.713,88.502,87.522,88.449,1421392
2014-08-20,88.358,88.922,88.151,88.83,1135175
2014-08-21,88.884,89.639,88.868,89.075,1414383
2014-08-22,89.049,89.448,88.176,88.74,1090894
2014-08-25,88.903,89.575,88.821,89.223,947023
2014-08-26,89.138,89.284,87.849,87.904,1534073
2014-08-27,88.054,88.833,87.909,88.723,1543004
2014-08-28,88.522,89.475,88.256,89.309,1031115
2014-08-29,89.51,90.197,89.318,90.15,1513964
2014-09-02,90.006,90.217,88.678,89.034,2046196
2014-09-03,89.209,89.804,89.053,89.375,1554798
2014-09-04,89.299,89.603,88.614,89.034,2294920
2014-09-05,89.053,89.666,88.896,89.666,1704855
2014-09-08,89.647,89.741,88.816,89.043,1147788
2014-09-09,88.62,88.887,87.56,87.633,2091660
2014-09-10,87.55,88.128,87.177,87.56,1860254
2014-09-11,87.543,88.276,86.946,88.045,1835682
2014-09-12,87.495,87.67,86.094,86.17,1994779
2014-09-15,86.478,86.863,85.866,86.239,1470680
2014-09-16,86.121,87.442,85.931,87.11,2491730
2014-09-17,87.57,88.109,86.81,87.257,2274731
2014-09-18,87.229,87.589,86.351,86.607,2020146
2014-09-19,86.992,87.442,86.563,87.12,2337881
2014-09-22,86.682,87.204,86.268,86.643,1562891
2014-09-23,86.643,87.092,86.249,86.582,1528994
2014-09-24,86.828,86.828,86.012,86.239,1179906
2014-09-25,86.188,86.534,85.27,85.288,1916481
2014-09-26,85.326,85.793,84.85,85.564,1520015
2014-09-29,85.142,85.803,84.767,85.711,1382091
2014-09-30,85.931,86.919,85.62,85.966,1900860
2014-10-01,85.784,87.314,85.784,86.341,1738212
2014-10-02,86.14,86.727,85.718,85.866,1835383
2014-10-03,86.259,86.435,85.472,86.288,1751222
2014-10-06,86.387,86.846,85.518,85.765,1665116
2014-10-07,85.463,86.249,85.133,85.18,1971821
2014-10-08,85.38,87.387,85.288,87.285,2297288
2014-10-09,87.314,87.861,85.702,85.702,2605851
2014-10-10,86.05,87.295,85.702,85.738,2775604
2014-10-13,85.848,86.946,84.895,84.969,2369585
2014-10-14,85.226,86.773,84.676,85.472,3417491
2014-10-15,85.252,85.793,82.715,84.081,3305637
2014-10-16,83.01,85.966,82.872,85.499,3630850
2014-10-17,85.857,86.607,84.603,86.307,2654047
2014-10-20,86.341,87.204,86.249,87.11,1520119
2014-10-21,87.185,87.57,86.719,87.468,1927995
2014-10-22,87.452,88.971,87.285,88.394,2600392
2014-10-23,89.099,90.013,88.55,89.556,2570704
2014-10-24,89.741,90.453,89.328,90.069,1802660
2014-10-27,89.96,90.647,89.583,89.822,1477886
2014-10-28,90.135,90.775,89.52,90.775,2094929
2014-10-29,90.655,91.094,89.299,90.288,1989056
2014-10-30,90.638,91.725,89.29,91.488,3111202
2014-10-31,92.034,92.034,90.536,91.776,2753008
2014-11-03,91.868,92.521,91.25,92.31,2451313
2014-11-04,92.438,93.051,91.915,92.446,2174775
2014-11-05,94.639,96.307,92.977,96.027,6009075
2014-11-06,95.717,96.267,94.093,95.192,3953087
2014-11-07,95.094,95.908,94.517,95.9,2267995
2014-11-10,95.631,96.713,95.085,96.713,1605577
2014-11-11,96.623,97.023,95.803,95.948,2015582
2014-11-12,94.357,95.296,93.505,94.414,2789135
2014-11-13,94.414,95.075,93.306,93.645,1927484
2014-11-14,93.355,93.738,93.078,93.26,2038117
2014-11-17,93.148,94.696,93.078,94.517,1485133
2014-11-18,94.639,95.039,94.056,94.63,1762897
2014-11-19,94.8,95.153,94.179,94.962,1922071
2014-11-20,94.225,94.677,94.027,94.385,1439112
2014-11-21,95.247,95.247,94.093,94.991,2155096
2014-11-24,95.143,95.401,94.48,94.517,1533713
2014-11-25,94.546,95.039,93.886,94.838,2004666
2014-11-26,95.058,95.343,94.649,95.173,1445220
2014-11-28,95.276,96.955,95.276,96.267,1071407
2014-12-01,95.765,97.391,95.372,96.653,2059661
2014-12-02,96.326,97.265,95.803,96.935,1565756
2014-12-03,96.633,97.149,95.928,96.267,1742025
2014-12-04,94.658,95.985,94.6,95.441,3963754
2014-12-05,94.649,95.525,94.253,94.916,1917023
2014-12-08,94.81,96.181,94.81,95.613,1949841
2014-12-09,95.479,96.538,95.372,96.451,1803669
2014-12-10,95.192,95.9,93.364,93.541,5827525
2014-12-11,93.829,95.153,93.607,94.508,2536035
2014-12-12,93.876,94.933,92.93,92.967,2798103
2014-12-15,93.476,94.018,91.824,92.827,3064001
2014-12-16,93.024,94.537,92.284,93.223,2873116
2014-12-17,93.427,95.286,93.014,95.094,2992606
2014-12-18,95.765,97.255,95.173,97.237,2392791
2014-12-19,97.453,98.148,96.633,97.638,3780586
2014-12-22,97.63,97.962,97.061,97.688,1782778
2014-12-23,98.09,98.466,97.561,98.05,1378871
2014-12-24,98.23,100.13,98.07,99.59,1251193
2014-12-26,99.85,101.15,99.6,100.79,2386750
2014-12-29,100.62,102.21,100.57,101.9,2116931
2014-12-30,101.84,101.84,99.241,99.44,1557719
2014-12-31,99.46,100.04,97.913,98.02,1624178
2015-01-02,98.338,98.792,97.178,98.388,1752756
2015-01-05,98.298,98.456,97.013,97.343,2212495
2015-01-06,97.678,99.52,97.531,97.718,2880214
2015-01-07,99.211,99.57,97.815,98.614,1976811
2015-01-08,99.479,99.8,98.973,99.211,2065867
2015-01-09,99.34,99.61,98.099,98.348,1659930
2015-01-12,98.22,98.993,97.411,98.099,1579928
2015-01-13,98.953,100.03,97.923,98.466,1831868
2015-01-14,97.444,99.221,97.285,99.092,1986425
2015-01-15,99.162,99.44,97.865,98.713,4689624
2015-01-16,98.792,99.89,98.565,99.79,2133468
2015-01-20,100.16,100.6,99.152,100.45,2006002
2015-01-21,99.87,101.67,99.38,101.35,3281759
2015-01-22,101.69,102.1,100.08,101.02,2518598
2015-01-23,101.34,101.64,100.83,100.96,1827364
2015-01-26,100.8,101.24,100.17,101.21,1498784
2015-01-27,101.33,102.84,100.18,102.57,2311781
2015-01-28,102.63,103.88,101.22,101.38,2167577
2015-01-29,101.61,103.02,101.18,102.97,1849891
2015-01-30,102.8,102.83,100.66,100.74,2099838
2015-02-02,101,101.61,99.61,101.52,1952763
2015-02-03,101.48,101.87,100.66,101.66,2342859
2015-02-04,101.44,102.02,100.64,100.92,1695730
2015-02-05,101.28,101.53,100.35,101.17,1418288
2015-02-06,100.79,100.88,96.895,97.571,2382757
2015-02-09,97.434,98.09,96.065,96.383,2248083
2015-02-10,96.643,99.63,96.413,99.44,3682931
2015-02-11,98.802,98.903,96.693,96.895,2309843
2015-02-12,96.886,97.169,95.765,97.139,2558932
2015-02-13,96.703,96.713,95.058,95.565,2697110
2015-02-17,95.45,96.623,94.696,95.382,3096843
2015-02-18,95.441,98.259,95.382,98.21,2612776
2015-02-19,98.624,98.624,96.867,97.217,3546588
2015-02-20,97.061,97.708,96.162,97.372,1844469
2015-02-23,97.6,97.952,97.101,97.737,1696287
2015-02-24,97.492,98.722,97.245,97.825,2028320
2015-02-25,97.737,97.962,96.122,96.403,2180877
2015-02-26,96.673,97.013,95.871,96.122,1877052
2015-02-27,96.422,96.643,95.641,96.103,1755642
2015-03-02,95.679,96.036,93.548,94.33,2666834
2015-03-03,94.047,94.896,93.417,94.696,2162814
2015-03-04,94.405,94.819,93.886,94.188,3206596
2015-03-05,94.591,95.65,94.405,94.867,2117277
2015-03-06,93.671,93.671,91.248,91.685,3362043
2015-03-09,91.759,92.465,91.575,91.898,2627865
2015-03-10,90.551,92.475,90.551,91.027,3691241
2015-03-11,91.575,92.01,90.59,91.017,2443135
2015-03-12,91.759,94.075,91.667,93.373,3498438
2015-03-13,93.232,93.794,92.429,93.456,3572607
2015-03-16,94.498,96.577,94.395,95.659,3682737
2015-03-17,95.679,96.613,95.411,95.928,2317722
2015-03-18,95.908,99.75,95.679,99.301,4082013
2015-03-19,98.943,99.83,97.492,97.982,3067726
2015-03-20,98.437,99.291,97.363,98.456,7378927
2015-03-23,97.61,98.634,97.61,98.23,2604504
2015-03-24,97.855,98.802,97.305,97.381,2269927
2015-03-25,97.381,97.747,96.065,96.065,1831464
2015-03-26,95.506,96.403,95.03,95.421,1843843
2015-03-27,95.65,96.633,95.441,96.181,1633063
2015-03-30,96.915,97.6,96.403,97.295,1709389
2015-03-31,97.031,97.531,96.036,96.653,2466635
2015-04-01,96.558,97.688,95.555,97.314,2036860
2015-04-02,97.178,97.786,96.867,97.305,1421099
2015-04-06,97.737,99.052,97.668,98.04,1804982
2015-04-07,97.913,98.25,96.789,96.886,1121733
2015-04-08,96.577,96.925,95.938,96.643,1536824
2015-04-09,96.498,96.703,95.631,96.623,1421691
2015-04-10,96.858,97.688,96.538,97.444,1004920
2015-04-13,97.051,97.353,96.277,96.373,1288365
2015-04-14,96.749,97.343,96.528,96.945,1122584
2015-04-15,97.187,98.119,96.749,96.779,1732426
2015-04-16,96.432,96.993,95.631,96.383,1822203
2015-04-17,95.918,96.839,95.45,95.813,1607658
2015-04-20,95.995,97.825,95.784,97.071,2604033
2015-04-21,97.071,97.698,95.813,96.046,2110804
2015-04-22,96.267,96.498,95.372,95.938,1963054
2015-04-23,96.046,97.149,95.823,96.876,1814562
2015-04-24,96.809,98.279,96.518,97.591,1648149
2015-04-27,97.943,97.952,96.085,96.442,1941806
2015-04-28,95.938,97.091,95.641,96.703,2168915
2015-04-29,95.891,97.129,95.094,95.411,2494161
2015-04-30,95.049,95.593,93.126,93.757,4053483
2015-05-01,93.821,94.743,93.078,94.639,2446795
2015-05-04,94.61,96.558,94.179,95.459,3304126
2015-05-05,94.962,95.247,92.475,93.032,3400799
2015-05-06,92.875,93.587,92.067,92.921,3273939
2015-05-07,93.512,93.794,92.996,93.446,2344953
2015-05-08,94.725,95.565,93.26,94.018,2674477
2015-05-11,93.821,94.62,92.772,92.902,2172718
2015-05-12,92.53,93.232,91.797,92.809,2214319
2015-05-13,93.024,94.179,92.633,93.078,2477137
2015-05-14,93.427,94.066,93.325,93.896,1962796
2015-05-15,94.037,94.962,94.008,94.877,3165135
2015-05-18,94.6,95.535,94.508,95.03,2102853
2015-05-19,94.253,95.727,94.027,95.227,1646561
2015-05-20,95.247,96.046,94.981,95.237,2122085
2015-05-21,95.218,95.45,94.63,94.896,1442738
2015-05-22,94.81,95.227,94.31,94.962,1486982
2015-05-26,94.962,95,93.26,93.849,3698529
2015-05-27,94.075,94.916,93.896,94.385,2271321
2015-05-28,94.31,95.794,94.31,95.737,2799337
2015-05-29,95.659,96.2,94.962,95.794,2989006
2015-06-01,95.985,97.698,95.891,96.915,3351041
2015-06-02,96.219,96.403,95.123,95.689,2573701
2015-06-03,95.218,95.861,93.587,93.812,3049686
2015-06-04,93.476,94.442,93.373,93.951,2368430
2015-06-05,92.895,92.98,92.24,92.454,2570339
2015-06-08,92.371,92.549,91.837,91.845,1957132
2015-06-09,92.145,92.323,91.8,91.912,1542229
2015-06-10,92.454,93.111,92.39,92.782,2892812
2015-06-11,93.252,93.548,92.792,93.296,1550015
2015-06-12,92.763,93.446,92.679,92.895,1261346
2015-06-15,92.192,93.279,92.192,92.782,1636107
2015-06-16,92.792,93.391,92.286,93.166,1345742
2015-06-17,93.13,94.527,92.755,94.263,2272710
2015-06-18,94.348,95.851,94.206,95.727,2318539
2015-06-19,95.708,95.918,94.508,94.508,2244719
2015-06-22,95.104,95.104,94.112,94.32,1331427
2015-06-23,94.169,94.433,92.877,92.941,1815822
2015-06-24,93.053,93.522,92.231,92.231,1687172
2015-06-25,92.529,92.698,91.603,91.724,1580875
2015-06-26,91.641,92.474,91.014,92.39,1845601
2015-06-29,91.462,93.427,91.462,91.893,2147613
2015-06-30,92.277,92.708,91.556,91.762,2884646
2015-07-01,92.118,92.474,91.66,92.136,2024008
2015-07-02,92.718,94.14,92.624,93.812,2370995
2015-07-06,93.626,94.414,92.99,94.037,1836628
2015-07-07,93.839,97.071,93.839,96.307,3305225
2015-07-08,95.851,96.335,95.431,95.431,2894677
2015-07-09,95.727,96.248,94.376,94.706,3016462
2015-07-10,94.687,95.747,94.112,95.143,1612283
2015-07-13,95.487,95.861,94.838,95.45,1518273
2015-07-14,95.441,95.975,95.133,95.469,1316926
2015-07-15,95.515,96.21,94.933,96.2,1345352
2015-07-16,96.228,98.23,96.142,97.747,2647577
2015-07-17,97.728,97.825,96.876,97.031,1675956
2015-07-20,97.333,97.333,96.132,96.558,2402188
2015-07-21,96.548,96.867,95.276,95.603,2308392
2015-07-22,95.65,96.809,95.613,96.228,2238525
2015-07-23,96.228,96.277,94.743,95.545,2080414
2015-07-24,95.326,96.248,95.266,95.747,1130265
2015-07-27,95.871,97.237,95.861,96.886,1555237
2015-07-28,96.839,97.6,96.432,97.434,3000117
2015-07-29,97.111,97.982,96.461,97.893,2229765
2015-07-30,97.561,98.565,97.305,98.19,1871989
2015-07-31,98.953,99.53,98.348,98.466,2720437
2015-08-03,101.55,102.32,99.75,100.82,4879518
2015-08-04,100.83,101.07,99.59,99.73,3401158
2015-08-05,100.1,100.29,99.162,99.181,2018453
2015-08-06,99.46,99.54,98.556,98.983,3147881
2015-08-07,98.983,100.77,98.506,100.16,1789622
2015-08-10,100.24,100.62,99.241,99.72,3205767
2015-08-11,99.85,101.18,99.33,99.81,2105063
2015-08-12,99.56,101.62,99.211,101.49,3773143
2015-08-13,101.47,102.22,100.35,101.96,1932562
2015-08-14,101.77,102.08,101.01,102.06,1536754
2015-08-17,102.24,102.94,102.12,102.53,1585150
2015-08-18,102.2,102.85,101.76,102.51,1946236
2015-08-19,102.03,102.61,101.07,102.09,2587539
2015-08-20,101.6,102.67,101.27,101.34,2196326
2015-08-21,100.95,101.34,99.97,100.13,2945314
2015-08-24,96.422,99.092,93.607,96.451,5281539
2015-08-25,98.002,98.129,94.018,94.083,4057632
2015-08-26,95.401,96.162,94.018,95.891,3554582
2015-08-27,96.558,96.809,95.276,96.461,3198487
2015-08-28,96.413,96.613,94.877,96.046,2446119
2015-08-31,95.622,95.727,92.085,92.829,5415832
2015-09-01,91.801,91.904,89.282,89.943,3832651
2015-09-02,90.528,90.951,89,89.65,3497122
2015-09-03,90.094,90.555,89.358,89.773,2676909
2015-09-04,88.858,89.857,88.707,89.255,3059929
2015-09-08,90.368,91.641,90.273,91.583,3097141
2015-09-09,92.282,92.377,89.745,89.895,2533156
2015-09-10,89.792,90.706,89.613,89.943,2645097
2015-09-11,88.47,90.49,88.426,90.415,4901887
2015-09-14,90.422,91.254,90.159,90.678,3250434
