Date,Open,High,Low,Close,Volume
2014-07-01,39.03,39.03,38.677,38.781,4178434
2014-07-02,38.745,38.745,37.956,38.075,7517823
2014-07-03,37.912,37.912,37.568,37.859,4676611
2014-07-07,37.782,38.111,37.782,38.033,4807230
2014-07-08,38.066,38.531,38.066,38.316,5484594
2014-07-09,38.436,38.436,38.005,38.248,4324607
2014-07-10,38.265,38.635,38.188,38.402,6023792
2014-07-11,38.394,38.627,38.179,38.307,4671890
2014-07-14,38.298,38.42,37.981,38.005,4453486
2014-07-15,38.005,38.282,37.981,38.256,4352968
2014-07-16,38.368,38.522,38.119,38.513,4419650
2014-07-17,38.566,38.581,38.29,38.325,5035476
2014-07-18,38.464,38.668,38.196,38.618,3793710
2014-07-21,38.531,38.755,38.436,38.635,3460614
2014-07-22,38.736,38.815,38.59,38.635,3264392
2014-07-23,38.714,38.791,38.531,38.549,4040582
2014-07-24,38.635,38.635,38.316,38.522,4597938
2014-07-25,38.6,38.704,38.368,38.488,8205645
2014-07-28,38.384,39.082,38.384,39.021,6473738
2014-07-29,39.117,39.117,38.427,38.59,6392973
2014-07-30,38.714,38.714,37.859,38.179,8073705
2014-07-31,38.209,38.209,37.625,37.685,6521382
2014-08-01,37.73,38.157,37.652,37.713,4817488
2014-08-04,37.764,37.792,36.869,37.52,7626566
2014-08-05,37.382,37.607,36.954,37.086,4984919
2014-08-06,36.938,36.938,36.45,36.712,11534534
2014-08-07,36.869,37.321,36.79,37.104,5065151
2014-08-08,37.183,37.905,37.174,37.896,5723245
2014-08-11,37.896,37.958,37.469,37.487,5444503
2014-08-12,37.479,37.764,37.434,37.625,4037675
2014-08-13,37.303,37.677,37.145,37.496,6048682
2014-08-14,37.565,37.842,37.529,37.809,3632457
2014-08-15,37.809,38.148,37.677,37.8,5045616
2014-08-18,37.896,38.061,37.677,37.764,3422892
2014-08-19,37.913,38.139,37.74,38.13,3125108
2014-08-20,37.913,38.166,37.913,38.139,3032126
2014-08-21,38.209,38.425,38.13,38.209,3571893
2014-08-22,38.262,38.339,37.87,38.026,3243792
2014-08-25,38.13,38.322,38.061,38.217,2402509
2014-08-26,38.295,38.375,37.87,37.905,2576677
2014-08-27,37.905,38.166,37.905,38.157,2738952
2014-08-28,38.036,38.541,38.036,38.504,3388454
2014-08-29,38.463,38.652,38.356,38.652,3003888
2014-09-02,38.582,38.687,37.965,38.13,4313607
2014-09-03,38.252,38.531,38.252,38.463,3224775
2014-09-04,38.366,38.496,38.114,38.444,3733034
2014-09-05,38.582,38.991,38.531,38.991,6917645
2014-09-08,38.922,39.019,38.609,38.794,3663242
2014-09-09,38.67,38.739,38.217,38.278,7842126
2014-09-10,38.217,38.295,37.958,38.096,3376802
2014-09-11,38.139,38.392,37.974,38.356,3267563
2014-09-12,38.174,38.209,37.652,37.748,4866996
2014-09-15,37.8,38.026,37.625,37.755,4502760
2014-09-16,37.782,38.382,37.782,38.244,4731260
2014-09-17,38.086,38.366,37.722,37.93,4727129
2014-09-18,37.896,38.069,37.469,37.677,5485720
2014-09-19,37.842,38.105,37.74,38.036,6477586
2014-09-22,37.965,38.166,37.792,37.842,6128936
